,Alue,Osoite,Hinta,Koko,Vuosi,Talotyyppi,Sauna,Parveke,Katu
0,Muotiala,Muotialantie 74 C,208000.0,54.0,2008.0,Luhtitalo,False,False,Muotialantie
1,Kaleva,Teiskontie 13,218000.0,60.0,1954.0,Kerrostalo,False,False,Teiskontie
2,Kaleva,Lemminkäisenkatu 6,185000.0,52.5,1960.0,Kerrostalo,False,False,Lemminkäisenkatu
3,Tammela,Välimaankatu 7,178000.0,48.6,1932.0,Kerrostalo,False,False,Välimaankatu
4,Amuri,Kortelahdenkatu 18 B,174000.0,40.0,1970.0,Kerrostalo,False,False,Kortelahdenkatu
5,Kaleva,Sammonkatu 37,219000.0,53.5,1957.0,Kerrostalo,False,False,Sammonkatu
6,Kaleva,Kalevan puistotie 11,183000.0,50.0,1955.0,Kerrostalo,False,False,Kalevan
7,Kaleva,Sammonkatu 37,186000.0,42.5,1957.0,Kerrostalo,False,False,Sammonkatu
8,Santalahti,Rantatie 37 C 56,181800.0,38.0,2019.0,Kerrostalo,False,False,Rantatie
9,Hatanpää,Hatanpään puistokuja 29,249000.0,50.0,2017.0,Kerrostalo,False,False,Hatanpään
10,Turtola,Sotilaankuja 11,189000.0,58.5,2004.0,Luhtitalo,True,False,Sotilaankuja
11,Tampereen,Itsenäisyydenkatu 3,315000.0,47.5,2018.0,Kerrostalo,False,False,Itsenäisyydenkatu
12,Rantaperkiö,Pihlajakatu 6 A,179000.0,49.5,2006.0,Kerrostalo,False,False,Pihlajakatu
13,Hakametsä,Uudenkylänkatu 4,174000.0,53.5,1972.0,Kerrostalo,False,False,Uudenkylänkatu
14,Keskusta,Yliopistonkatu 46 A,179900.0,46.5,1961.0,Kerrostalo,False,False,Yliopistonkatu
15,Tesoma,Tesomankatu 20,91000.0,58.5,1973.0,Kerrostalo,False,False,Tesomankatu
16,Vuores,Tervaskatu 4 B,159870.0,40.5,2021.0,Kerrostalo,False,False,Tervaskatu
17,Takahuhti,Hanhenmäenkatu 1 B,168800.0,37.0,2020.0,Kerrostalo,False,False,Hanhenmäenkatu
18,Takahuhti,Hanhenmäenkatu 1 A,191700.0,45.5,2020.0,Kerrostalo,False,False,Hanhenmäenkatu
19,Ranta-Tampella,Ranta-Tampellan katu 15 A,220160.0,38.0,2020.0,Kerrostalo,False,False,Ranta-Tampellan
20,Ranta-Tampella,Ranta-Tampellan katu 15 A,245150.0,35.5,2020.0,Kerrostalo,False,False,Ranta-Tampellan
21,Pyynikki,Pyynikintie 62,168000.0,57.0,1951.0,Puutalo-osake,False,False,Pyynikintie
22,Rantaperkiö,Härmälänkatu 23,108000.0,48.0,1971.0,Kerrostalo,False,False,Härmälänkatu
23,Santalahti,Tiporaitti 9 E 128,183500.0,36.5,2019.0,Kerrostalo,False,False,Tiporaitti
24,Hervanta,Arkkitehdinkatu 16,139000.0,48.0,1989.0,Kerrostalo,False,False,Arkkitehdinkatu
25,Härmälänranta,Lentovarikonkatu 2,139800.0,39.0,2016.0,Kerrostalo,False,False,Lentovarikonkatu
26,Kaleva,Tiilikentänpolku 8 D71,204910.0,32.0,2022.0,Kerrostalo,False,False,Tiilikentänpolku
27,Kaleva,Tiilikentänpolku 8 D68,202290.0,32.0,2022.0,Kerrostalo,False,False,Tiilikentänpolku
28,Kaleva,Tiilikentänpolku 8 D67,255050.0,46.5,2022.0,Kerrostalo,True,False,Tiilikentänpolku
29,Kaleva,Tiilikentänpolku 8 D64,227360.0,35.5,2022.0,Kerrostalo,False,False,Tiilikentänpolku
30,Kaleva,Tiilikentänpolku 8 D63,199960.0,32.0,2022.0,Kerrostalo,False,False,Tiilikentänpolku
31,Kaleva,Tiilikentänpolku 8 D60,197330.0,32.0,2022.0,Kerrostalo,False,False,Tiilikentänpolku
32,Kaleva,Tiilikentänpolku 8 D59,248920.0,46.5,2022.0,Kerrostalo,True,False,Tiilikentänpolku
33,Kaleva,Tiilikentänpolku 8 D56,221820.0,35.5,2022.0,Kerrostalo,False,False,Tiilikentänpolku
34,Kaleva,Tiilikentänpolku 8 D55,197330.0,32.0,2022.0,Kerrostalo,False,False,Tiilikentänpolku
35,Kaleva,Tiilikentänpolku 8 D52,194420.0,32.0,2022.0,Kerrostalo,False,False,Tiilikentänpolku
36,Kaleva,Tiilikentänpolku 8 D50,226770.0,39.0,2022.0,Kerrostalo,True,False,Tiilikentänpolku
37,Kaleva,Tiilikentänpolku 8 D51,191500.0,31.5,2022.0,Kerrostalo,False,False,Tiilikentänpolku
38,Kaleva,Tiilikentänpolku 8 D47,215700.0,35.5,2022.0,Kerrostalo,False,False,Tiilikentänpolku
39,Kaleva,Tiilikentänpolku 8 D45,218900.0,35.5,2022.0,Kerrostalo,False,False,Tiilikentänpolku
40,Kaleva,Tiilikentänpolku 8 D41,191800.0,32.0,2022.0,Kerrostalo,False,False,Tiilikentänpolku
41,Kaleva,Tiilikentänpolku 8 D40,188590.0,31.5,2022.0,Kerrostalo,False,False,Tiilikentänpolku
42,Kaleva,Tiilikentänpolku 8 D39,223860.0,39.0,2022.0,Kerrostalo,True,False,Tiilikentänpolku
43,Kaleva,Tiilikentänpolku 8 D36,212780.0,35.5,2022.0,Kerrostalo,False,False,Tiilikentänpolku
44,Kaleva,Tiilikentänpolku 8 D34,215700.0,35.5,2022.0,Kerrostalo,False,False,Tiilikentänpolku
45,Kaleva,Tiilikentänpolku 8 D33,191500.0,32.0,2022.0,Kerrostalo,False,False,Tiilikentänpolku
46,Kaleva,Tiilikentänpolku 8 D30,188880.0,32.0,2022.0,Kerrostalo,False,False,Tiilikentänpolku
47,Kaleva,Tiilikentänpolku 8 D29,185970.0,31.5,2022.0,Kerrostalo,False,False,Tiilikentänpolku
48,Kaleva,Tiilikentänpolku 8 D28,220940.0,39.0,2022.0,Kerrostalo,True,False,Tiilikentänpolku
49,Kaleva,Tiilikentänpolku 8 D25,209580.0,35.5,2022.0,Kerrostalo,False,False,Tiilikentänpolku
50,Kaleva,Tiilikentänpolku 8 D23,212490.0,35.5,2022.0,Kerrostalo,False,False,Tiilikentänpolku
51,Kaleva,Tiilikentänpolku 8 D22,188880.0,32.0,2022.0,Kerrostalo,False,False,Tiilikentänpolku
52,Kaleva,Tiilikentänpolku 8 D19,186260.0,32.0,2022.0,Kerrostalo,False,False,Tiilikentänpolku
53,Kaleva,Tiilikentänpolku 8 D18,183340.0,31.5,2022.0,Kerrostalo,False,False,Tiilikentänpolku
54,Kaleva,Tiilikentänpolku 8 D17,217740.0,39.0,2022.0,Kerrostalo,True,False,Tiilikentänpolku
55,Kaleva,Tiilikentänpolku 8 D14,206370.0,35.5,2022.0,Kerrostalo,False,False,Tiilikentänpolku
56,Kaleva,Tiilikentänpolku 8 D12,209580.0,35.5,2022.0,Kerrostalo,False,False,Tiilikentänpolku
57,Kaleva,Tiilikentänpolku 8 D11,183930.0,32.0,2022.0,Kerrostalo,False,False,Tiilikentänpolku
58,Kaleva,Tiilikentänpolku 8 D8,181300.0,32.0,2022.0,Kerrostalo,False,False,Tiilikentänpolku
59,Kaleva,Tiilikentänpolku 8 D7,178390.0,31.5,2022.0,Kerrostalo,False,False,Tiilikentänpolku
60,Kaleva,Tiilikentänpolku 8 D6,212490.0,39.0,2022.0,Kerrostalo,True,False,Tiilikentänpolku
61,Kaleva,Tiilikentänpolku 8 D3,201120.0,35.5,2022.0,Kerrostalo,False,False,Tiilikentänpolku
62,Kaleva,Tiilikentänpolku 8 D1,204040.0,35.5,2022.0,Kerrostalo,False,False,Tiilikentänpolku
63,Amuri,Savilinnankatu 9,179000.0,50.0,1955.0,Kerrostalo,False,False,Savilinnankatu
64,Lamminpää,Isoahonkatu 3,89000.0,46.0,1970.0,Kerrostalo,False,False,Isoahonkatu
65,Halkoniemi,Halkoniemenkuja 4,188500.0,42.0,2018.0,Kerrostalo,True,False,Halkoniemenkuja
66,Ranta-Tampella,Ranta-Tampellan katu 15 A25,225180.0,43.5,2019.0,Kerrostalo,True,True,Ranta-Tampellan
67,Ranta-Tampella,Ranta-Tampellan katu 15 A19,220180.0,43.5,2019.0,Kerrostalo,True,True,Ranta-Tampellan
